scopus_id,title,authors,publication_name,cover_date,doi,keywords,abstract,citation_count,subject_areas,document_type
105008718274,Artificial Intelligence-assisted Endoscopy and Examiner Confidence: A Study on Human–Artificial Intelligence Interaction in Barrett's Esophagus (With Video),Roser D.,Den Open,2026-04-01,10.1002/deo2.70150,,,0,Article,Article
105004352677,Effects of artificial intelligence assistance on endoscopist performance: Comparison of diagnostic performance in superficial esophageal squamous cell carcinoma detection using video-based models,Aoyama N.,Den Open,2026-04-01,10.1002/deo2.70083,,,0,Article,Article
105009896648,Shock-induced deformation and spallation of TiZrNb refractory multi-principal element alloy subjected to plate impact loadings,Ma X.,Journal of Materials Science and Technology,2026-03-10,10.1016/j.jmst.2025.04.067,,,0,Article,Article
105009636125,AI-Driven Strategies for Supply Chain Resilience: A Review of Challenges and Solutions During Pandemics,Salehi A.,International Journal of Engineering Transactions B Applications,2026-03-01,10.5829/ije.2026.39.03c.03,,,0,Review,Review
105009339401,Model distillation driven machine learning for automatic microstructure detection and segmentation,Zheng Z.,Journal of Materials Science and Technology,2026-03-01,10.1016/j.jmst.2025.04.045,,,0,Article,Article
105007802538,AIGC-empowered smart manufacturing: Prospects and challenges,Leng J.,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103076,,,0,Article,Article
105007501903,Biomass materials and their derivatives for electromagnetic interference shielding: A review,Wang L.,Journal of Materials Science and Technology,2026-02-01,10.1016/j.jmst.2025.04.019,,,2,Review,Review
105010170470,Grid-to-Robot: Deep Wasserstein generative modeling of robot/power grid interaction using hybrid adversarial Residual Networks,Safari A.,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103086,,,0,Article,Article
105007139742,"Generative Adversarial Networks: A Systematic Review of Characteristics, Applications, and Challenges in Financial Data Generation and Market Modeling: 2019-2024",Wilson D.,International Journal of Engineering Transactions B Applications,2026-02-01,10.5829/IJE.2026.39.02B.09,,,0,Review,Review
105009912799,"A new, cost-efficient modular sensor platform for IoT and predictive maintenance in industrial applications",Dera P.,Journal of Computational and Applied Mathematics,2026-02-01,10.1016/j.cam.2025.116777,,,0,Article,Article
105009591074,Higher differentiability of minimizers for non-autonomous orthotropic functionals,Russo S.,Nonlinear Analysis Real World Applications,2026-02-01,10.1016/j.nonrwa.2025.104450,,,0,Article,Article
105010231804,Dual-regularized mixed spatial attention network for breast MRI classification: dataset and methodology,Huang Z.,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.112039,,,0,Article,Article
105010225404,Financial cost optimization of urban water resource scheduling using genetic algorithms: A metaheuristic approach,Chen Q.,Expert Systems with Applications,2026-01-15,10.1016/j.eswa.2025.128617,,,0,Article,Article
105010308704,An AI-optimized strategy for intelligent risk mapping of Islamic and conventional sustainable markets: Assessing the enduring dynamics of technological risk spillovers,Ghaemi Asl M.,Expert Systems with Applications,2026-01-15,10.1016/j.eswa.2025.128945,,,0,Article,Article
105010061205,Dynamic sanctioning mechanism for cooperative multi-agent systems,Liu L.,Expert Systems with Applications,2026-01-15,10.1016/j.eswa.2025.128873,,,0,Article,Article
105005948066,Artificial intelligence enabled microstructure prediction in Al alloy castings,Hou Q.,Journal of Materials Science and Technology,2026-01-10,10.1016/j.jmst.2025.02.093,,,0,Article,Article
105009326908,When explainable artificial intelligence meets data governance: Enhancing trustworthiness in multimodal gas classification,Utomo S.,Information Fusion,2026-01-01,10.1016/j.inffus.2025.103440,,,0,Article,Article
105009422864,Validation Study Comparing Artificial Intelligence for Fully Automatic Aortic Aneurysms Segmentation and Diameter Measurements on Contrast and Noncontrast Enhanced Computed Tomography: A la mémoire de Lucie Salomon du Mont (In memory of Lucie Salomon du Mont),Gatinot A.,Annals of Vascular Surgery,2026-01-01,10.1016/j.avsg.2025.05.045,,,0,Article,Article
105009268609,Reinforcement Learning based collaborative DNN inference for edge intelligence,Ghamri M.A.,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107942,,,0,Article,Article
105010331068,Modal-NexT: Towards unified heterogeneous cellular data integration,Tang Z.,Information Fusion,2026-01-01,10.1016/j.inffus.2025.103479,,,0,Article,Article
105010301777,Machine learning-based voltage fault ride-through assessment of inverter-based resources using phasor measurement units,Pinzón J.D.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.123902,,,0,Article,Article
105005839566,Artificial Intelligence-based Bayesian Optimization And Transformer Model For Tennis Motion Recognition,Shi S.,Journal of Applied Science and Engineering,2026-01-01,10.6180/jase.202601_29(1).0017,,,0,Article,Article
105009863128,Deep learning on edge and cloud for intelligent monitoring and decision making in artificial pancreas,Kalita D.,Expert Systems with Applications,2026-01-01,10.1016/j.eswa.2025.128833,,,0,Review,Review
105009414674,SpAIware: Uncovering a novel artificial intelligence attack vector through persistent memory in LLM applications and agents,Herrador M.,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107994,,,0,Article,Article
105009514229,MatchNav: LLM-based enhanced description and instruction matching in vision-and-language navigation,Wang C.,Information Fusion,2026-01-01,10.1016/j.inffus.2025.103444,,,0,Article,Article
105009734874,Non-uniform spiking touch sensor for classification of movement patterns using neural networks,Markiewicz M.,Expert Systems with Applications,2026-01-01,10.1016/j.eswa.2025.128866,,,0,Article,Article
105009840882,Harnessing microalgae and cyanobacteria for sustainable bioenergy Production: Integration of molecular engineering and AI-driven approaches,Thajuddin F.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.123961,,,0,Article,Article
105010187612,Multi-objective optimization of orifice-shaped cathode flow field design in polymer electrolyte membrane fuel cells,Park R.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.123952,,,0,Article,Article
105008870808,Quality assessment of GPT-3.5 and Gemini 1.0 Pro for SQL syntax,Rosca C.M.,Computer Standards and Interfaces,2026-01-01,10.1016/j.csi.2025.104041,,,0,Article,Article
105010137905,Success factors for standards during the technology life cycle,van de Kaa G.,Computer Standards and Interfaces,2026-01-01,10.1016/j.csi.2025.104043,,,0,Article,Article
105009594375,"Bioinspired multifunctional antifogging surfaces: Progress, AI design and challenges",Gao H.,Progress in Materials Science,2026-01-01,10.1016/j.pmatsci.2025.101530,,,0,Review,Review
105010522153,"Stimuli-responsive shape-morphing soft actuators: metrics, materials, mechanism, design and applications",Sun L.,Progress in Materials Science,2026-01-01,10.1016/j.pmatsci.2025.101531,,,0,Review,Review
105007598545,A survey of fragile model watermarking,Gao Z.,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110088,,,0,Review,Review
105010228844,Computation- and process-based design for advanced structural high-entropy alloy development and analyses: A critical review,Toor Z.S.,Progress in Materials Science,2026-01-01,10.1016/j.pmatsci.2025.101534,,,0,Review,Review
